race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.4935 (0.4595-0.5304),0.1525 (0.1256-0.1809),0.1312 (0.1081-0.1525),0.0343 (0.0205-0.0506),0.1885 (0.161-0.2174),0.0474 (0.044-0.0508)
OVAP,0.3243 (0.2279-0.4228),0.2105 (0.1272-0.2951),0.1258 (0.0667-0.201),0.1388 (0.0839-0.1994),0.2006 (0.1203-0.2817),0.0681 (0.0541-0.0834)
