race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.3829 (0.3553-0.4095),0.6171 (0.5905-0.6447),0.4719 (0.4526-0.4919)
OVAP,0.9171 (0.8565-0.9607),0.0829 (0.0393-0.1435),0.4289 (0.3462-0.5153)
