race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.2728 (0.2292-0.3176),0.7272 (0.6824-0.7708),0.5493 (0.5234-0.5755)
OVAP,0.8335 (0.7235-0.91),0.1665 (0.09-0.2765),0.6763 (0.5663-0.7669)
