race,AG18D,AG18R,AG18Turnout
WVAP,0.3175 (0.2713-0.3697),0.6825 (0.6303-0.7287),0.4638 (0.4388-0.496)
OVAP,0.8034 (0.6766-0.8938),0.1966 (0.1062-0.3234),0.6055 (0.4692-0.706)
