race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9857 (0.9769-0.9917),0.0143 (0.0083-0.0231),0.0416 (0.0385-0.0448)
OVAP,0.838 (0.7685-0.888),0.162 (0.112-0.2315),0.0414 (0.0298-0.0538)
