race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.3315 (0.3005-0.3631),0.6685 (0.6369-0.6995),0.5938 (0.5676-0.6205)
OVAP,0.9098 (0.8418-0.9559),0.0902 (0.0441-0.1582),0.5316 (0.4189-0.6389)
