race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.1044 (0.0807-0.134),0.8956 (0.866-0.9193),0.4684 (0.4474-0.4872)
OVAP,0.7589 (0.6551-0.8499),0.2411 (0.1501-0.3449),0.596 (0.5204-0.6772)
