race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.3078 (0.2654-0.3525),0.6922 (0.6475-0.7346),0.5612 (0.5342-0.5906)
OVAP,0.8198 (0.6992-0.9058),0.1802 (0.0942-0.3008),0.6429 (0.5178-0.7402)
