race,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,BMAY21PNone
WVAP,0.0805 (0.0747-0.0865),0.0433 (0.0378-0.0492),0.0108 (0.0076-0.0148),0.1098 (0.1016-0.118),0.7556 (0.7444-0.7669)
OVAP,0.0103 (0.0075-0.0134),0.0416 (0.0368-0.0465),0.0704 (0.0663-0.0744),0.0342 (0.0288-0.04),0.8435 (0.8347-0.8521)
