race,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,BMAY21PNone
WVAP,0.0783 (0.0734-0.0832),0.0504 (0.045-0.0558),0.0185 (0.0145-0.0227),0.1108 (0.1026-0.1191),0.742 (0.7312-0.753)
BVAP,0.0099 (0.0059-0.014),0.0629 (0.055-0.0711),0.1297 (0.1195-0.1401),0.03 (0.0217-0.0385),0.7675 (0.7522-0.7825)
HVAP,0.0093 (0.0042-0.017),0.0137 (0.0058-0.0244),0.0273 (0.0153-0.0408),0.0436 (0.0248-0.0635),0.906 (0.88-0.9305)
ASIANVAP,0.0105 (0.0046-0.0198),0.0156 (0.006-0.0306),0.0118 (0.0052-0.0219),0.0237 (0.0082-0.0455),0.9384 (0.9076-0.9626)
OVAP,0.0198 (0.0072-0.0372),0.0243 (0.0094-0.0465),0.0134 (0.005-0.0281),0.0226 (0.0076-0.0472),0.9198 (0.8822-0.9516)
