race,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,BMAY21PNone
WVAP,0.0788 (0.0739-0.0837),0.0511 (0.0459-0.0564),0.0187 (0.0149-0.023),0.1123 (0.1045-0.12),0.7391 (0.7287-0.7496)
BVAP,0.0107 (0.0068-0.015),0.0643 (0.0564-0.0722),0.1303 (0.1204-0.1403),0.0306 (0.0229-0.0387),0.7641 (0.7496-0.7782)
HVAP,0.0099 (0.0043-0.0174),0.0137 (0.0053-0.0252),0.0287 (0.0162-0.0424),0.0444 (0.0273-0.0635),0.9034 (0.8782-0.9265)
OVAP,0.0096 (0.0043-0.0183),0.0138 (0.0053-0.0259),0.0095 (0.0042-0.0176),0.0161 (0.0062-0.0315),0.951 (0.9284-0.9685)
