,COUNTY,VAP,NAME,WVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
935,Carroll,1903,Carroll Precinct 07-008,1759,62,12,45,144,1903,1,0.9243300052548608,0.07566999474513926,1784,0.0325801366263794,0.006305832895428271,0.023646873357856018,0.9374671571203363
936,Carroll,960,Carroll Precinct 07-005,945,50,7,36,15,960,1,0.984375,0.015625,867,0.052083333333333336,0.007291666666666667,0.0375,0.903125
937,Carroll,2365,Carroll Precinct 04-002,2282,82,15,49,83,2365,1,0.9649048625792812,0.03509513742071882,2219,0.0346723044397463,0.006342494714587738,0.020718816067653276,0.9382663847780127
938,Carroll,2537,Carroll Precinct 07-006,2326,82,9,65,211,2537,1,0.9168309026409145,0.08316909735908554,2381,0.03232163973196689,0.0035474970437524636,0.025620811982656682,0.938510051241624
939,Carroll,3647,Carroll Precinct 07-003,3100,95,18,65,547,3647,1,0.8500137098985467,0.14998629010145326,3469,0.02604880723882643,0.004935563476830271,0.01782286811077598,0.9511927611735673
940,Carroll,2385,Carroll Precinct 07-001,2135,44,10,30,250,2385,1,0.8951781970649895,0.10482180293501048,2301,0.018448637316561847,0.0041928721174004195,0.012578616352201259,0.9647798742138365
941,Carroll,7644,Carroll Precinct 05-004,6509,310,64,169,1135,7644,1,0.8515175300889587,0.14848246991104133,7101,0.04055468341182627,0.00837257980115123,0.022108843537414966,0.9289638932496075
943,Carroll,4313,Carroll Precinct 05-002,3922,185,39,136,391,4313,1,0.9093438441919778,0.09065615580802226,3953,0.04289357755622537,0.009042429863204266,0.031532575933225136,0.9165314166473453
1170,Carroll,2549,Carroll Precinct 05-003,2418,121,14,76,131,2549,1,0.9486072969792075,0.05139270302079247,2338,0.04746959591996862,0.005492349941153394,0.02981561396626128,0.9172224401726167
1181,Carroll,6184,Carroll Precinct 04-001,5840,191,51,129,344,6184,1,0.944372574385511,0.055627425614489,5813,0.030886157826649416,0.008247089262613196,0.020860284605433377,0.940006468305304
1182,Carroll,4802,Carroll Precinct 08-001,4594,132,27,98,208,4802,1,0.9566847147022074,0.043315285297792584,4545,0.027488546438983758,0.005622657226155768,0.02040816326530612,0.9464806330695543
1187,Carroll,7419,Carroll Precinct 07-004,6548,182,28,127,871,7419,1,0.8825987329828818,0.11740126701711821,7082,0.024531608033427684,0.0037740935436042593,0.01711821000134789,0.9545760884216201
1188,Carroll,4295,Carroll Precinct 03-001,4156,87,22,90,139,4295,1,0.9676367869615833,0.032363213038416765,4096,0.020256111757857975,0.005122235157159488,0.020954598370197905,0.9536670547147846
1189,Carroll,3836,Carroll Precinct 07-002,3328,83,19,63,508,3836,1,0.867570385818561,0.132429614181439,3671,0.021637122002085507,0.004953076120959333,0.016423357664233577,0.9569864442127216
1190,Carroll,5993,Carroll Precinct 06-001,5728,151,21,96,265,5993,1,0.9557817453695978,0.04421825463040214,5725,0.02519606207241782,0.003504088102786584,0.01601868846988153,0.955281161354914
1191,Carroll,3510,Carroll Precinct 08-002,3268,96,24,66,242,3510,1,0.931054131054131,0.06894586894586895,3324,0.02735042735042735,0.006837606837606838,0.018803418803418803,0.947008547008547
1192,Carroll,2717,Carroll Precinct 08-003,2574,91,13,52,143,2717,1,0.9473684210526315,0.05263157894736842,2561,0.03349282296650718,0.004784688995215311,0.019138755980861243,0.9425837320574163
1193,Carroll,4591,Carroll Precinct 06-002,4324,137,26,94,267,4591,1,0.9418427357874102,0.05815726421258985,4334,0.029840993247658463,0.0056632541929862775,0.020474842082335003,0.9440209104770203
1770,Carroll,7060,Carroll Precinct 13-001,6426,206,41,138,634,7060,1,0.9101983002832861,0.08980169971671388,6675,0.029178470254957508,0.005807365439093485,0.019546742209631728,0.9454674220963173
1794,Carroll,4768,Carroll Precinct 04-003,4514,172,28,105,254,4768,1,0.9467281879194631,0.05327181208053691,4463,0.03607382550335571,0.00587248322147651,0.022021812080536912,0.9360318791946308
