race,AG18D,AG18R,AG18None
WVAP,0.1989 (0.126-0.2993),0.2866 (0.2367-0.3157),0.5145 (0.4055-0.6029)
OVAP,0.6713 (0.555-0.7525),0.0435 (0.0119-0.0961),0.2851 (0.1954-0.4072)
