race,PRES12D,PRES12R,PRES12None
WVAP,0.2215 (0.1623-0.2932),0.4099 (0.3831-0.4265),0.3686 (0.298-0.4301)
OVAP,0.7191 (0.634-0.7854),0.0242 (0.0061-0.0538),0.2567 (0.1886-0.3383)
