race,AG14D,AG14R,AG14None
WVAP,0.0925 (0.0521-0.1362),0.2884 (0.2691-0.3011),0.6191 (0.5745-0.6612)
OVAP,0.4247 (0.3697-0.4803),0.0178 (0.0049-0.0391),0.5575 (0.5036-0.6123)
