race,PRES12D,PRES12R,PRES12None
WVAP,0.2355 (0.1744-0.3004),0.3683 (0.3303-0.4003),0.3962 (0.3283-0.462)
BVAP,0.7041 (0.6116-0.7891),0.0277 (0.0075-0.0641),0.2682 (0.1848-0.3605)
HVAP,0.6681 (0.4065-0.859),0.2152 (0.0614-0.4535),0.1167 (0.0363-0.2508)
OVAP,0.7451 (0.5567-0.8873),0.167 (0.0429-0.3376),0.0878 (0.0215-0.2035)
