race,COMP14D,COMP14R,COMP14None
WVAP,0.1315 (0.0875-0.1829),0.263 (0.2355-0.2848),0.6055 (0.5558-0.6522)
BVAP,0.4081 (0.3301-0.4842),0.0221 (0.0058-0.0509),0.5698 (0.4939-0.6473)
HVAP,0.3928 (0.1357-0.6896),0.1371 (0.0376-0.2849),0.4701 (0.1854-0.7256)
OVAP,0.4579 (0.2195-0.6946),0.1326 (0.0355-0.2731),0.4096 (0.1667-0.6629)
