race,GOV14D,GOV14R,GOV14None
WVAP,0.0539 (0.0222-0.0939),0.362 (0.3402-0.3764),0.5841 (0.5428-0.6203)
OVAP,0.4255 (0.3768-0.4691),0.0192 (0.005-0.0412),0.5553 (0.5099-0.6048)
