race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0273 (0.0139-0.0439),0.0058 (0.0018-0.0128),0.9669 (0.9499-0.9812)
OVAP,0.0639 (0.0457-0.0813),0.0448 (0.0379-0.0495),0.8913 (0.8736-0.9099)
