race,GOV18D,GOV18R,GOV18None
WVAP,0.0544 (0.0225-0.1025),0.5173 (0.4592-0.5553),0.4283 (0.3737-0.4884)
OVAP,0.566 (0.5105-0.603),0.0498 (0.0131-0.1055),0.3842 (0.3256-0.4431)
