race,SEN18D,SEN18R,SEN18None
WVAP,0.2143 (0.1405-0.3067),0.2693 (0.2248-0.2918),0.5164 (0.4231-0.5942)
OVAP,0.6547 (0.5469-0.7386),0.0363 (0.0099-0.0876),0.309 (0.2263-0.4104)
