race,COMP14D,COMP14R,COMP14None
WVAP,0.1241 (0.0819-0.1727),0.2912 (0.2689-0.3055),0.5847 (0.5368-0.6298)
OVAP,0.4209 (0.3625-0.4759),0.0198 (0.0052-0.0439),0.5592 (0.5038-0.6166)
