race,SEN18D,SEN18R,SEN18None
WVAP,0.2176 (0.1498-0.311),0.2106 (0.1739-0.2433),0.5718 (0.4731-0.6444)
BVAP,0.6483 (0.5233-0.738),0.0466 (0.0134-0.0974),0.3051 (0.2133-0.4288)
HVAP,0.65 (0.4206-0.8492),0.2684 (0.0824-0.4909),0.0816 (0.0194-0.1763)
OVAP,0.6984 (0.4667-0.8723),0.2436 (0.0866-0.4604),0.058 (0.0149-0.1304)
