race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0322 (0.0169-0.0482),0.0471 (0.0358-0.058),0.014 (0.0068-0.0215),0.9067 (0.8866-0.9265)
OVAP,0.1545 (0.1344-0.1756),0.0187 (0.0082-0.0311),0.0137 (0.0058-0.0222),0.8131 (0.7883-0.8364)
