race,SEN16D,SEN16R,SEN16None
WVAP,0.2406 (0.1644-0.3583),0.3161 (0.2619-0.3598),0.4434 (0.3075-0.5284)
BVAP,0.7203 (0.5567-0.8162),0.0599 (0.0175-0.1253),0.2198 (0.1205-0.3843)
HVAP,0.6222 (0.3731-0.8458),0.3353 (0.1086-0.5896),0.0425 (0.0111-0.0984)
OVAP,0.671 (0.4306-0.8711),0.2948 (0.0997-0.532),0.0342 (0.0098-0.0779)
