race,PRES16D,PRES16R,PRES16None
WVAP,0.2354 (0.15-0.3568),0.3876 (0.3174-0.4191),0.377 (0.2464-0.4867)
OVAP,0.7173 (0.5848-0.8099),0.0476 (0.0121-0.1222),0.2351 (0.1305-0.3759)
