race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0368 (0.0232-0.0508),0.0102 (0.0028-0.0196),0.046 (0.0316-0.061),0.9071 (0.8847-0.9277)
OVAP,0.0473 (0.0324-0.0634),0.0754 (0.0637-0.0854),0.0538 (0.0381-0.0704),0.8236 (0.7993-0.8483)
