race,COMP18D,COMP18R,COMP18None
WVAP,0.2544 (0.1741-0.3526),0.2371 (0.1869-0.2631),0.5085 (0.4018-0.6047)
OVAP,0.6465 (0.5256-0.7352),0.0419 (0.0118-0.0968),0.3115 (0.2128-0.4368)
