race,SEN16D,SEN16R,SEN16None
WVAP,0.247 (0.152-0.3671),0.3919 (0.3394-0.4214),0.3611 (0.2332-0.4748)
OVAP,0.6957 (0.5533-0.7951),0.0452 (0.0118-0.1007),0.2591 (0.1461-0.4039)
