race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0622 (0.0399-0.087),0.0224 (0.008-0.0411),0.9154 (0.8845-0.9421)
OVAP,0.1003 (0.0734-0.1265),0.2039 (0.1824-0.2226),0.6958 (0.6638-0.7313)
