race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0204 (0.0109-0.0331),0.0052 (0.0016-0.0091),0.0071 (0.0026-0.0127),0.0035 (0.0011-0.0072),0.0211 (0.0109-0.0336),0.9427 (0.9238-0.9582)
OVAP,0.1061 (0.0914-0.1189),0.0063 (0.002-0.0109),0.0139 (0.008-0.0196),0.0065 (0.0026-0.0094),0.1012 (0.0864-0.1145),0.766 (0.746-0.7889)
