race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0535 (0.0341-0.0753),0.0207 (0.0074-0.0399),0.9258 (0.8993-0.9481)
BVAP,0.0646 (0.0317-0.1035),0.184 (0.1432-0.226),0.7514 (0.7001-0.7992)
HVAP,0.2316 (0.0841-0.4088),0.2742 (0.0986-0.5053),0.4942 (0.253-0.7267)
OVAP,0.3233 (0.1189-0.5422),0.3012 (0.0947-0.547),0.3754 (0.1606-0.6227)
