race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.019 (0.0096-0.032),0.0017 (0.0006-0.0033),0.0035 (0.0012-0.0068),0.0012 (0.0004-0.0024),0.0175 (0.0064-0.0303),0.9572 (0.9398-0.9721)
BVAP,0.0875 (0.059-0.1132),0.0027 (0.0009-0.0055),0.0051 (0.0018-0.0099),0.0018 (0.0006-0.0035),0.0772 (0.0519-0.1048),0.8257 (0.7922-0.8599)
HVAP,0.1412 (0.0425-0.2651),0.0335 (0.01-0.0656),0.0545 (0.0188-0.1029),0.0373 (0.0121-0.0653),0.153 (0.0462-0.2898),0.5805 (0.404-0.7281)
OVAP,0.218 (0.101-0.3553),0.0411 (0.0179-0.0618),0.0763 (0.0363-0.1117),0.0356 (0.0175-0.055),0.2572 (0.117-0.3965),0.3717 (0.2251-0.5461)
