race,SEN12D,SEN12R,SEN12None
WVAP,0.1766 (0.1292-0.2291),0.2719 (0.2542-0.2834),0.5515 (0.4977-0.6014)
OVAP,0.6441 (0.582-0.7012),0.0168 (0.0046-0.0384),0.339 (0.2798-0.4019)
