race,AG14D,AG14R,AG14None
WVAP,0.101 (0.0589-0.1479),0.2614 (0.2363-0.2824),0.6376 (0.5922-0.6811)
BVAP,0.4032 (0.3302-0.4836),0.0203 (0.0055-0.0451),0.5765 (0.4983-0.649)
HVAP,0.4014 (0.1593-0.682),0.1304 (0.0409-0.2672),0.4683 (0.192-0.7323)
OVAP,0.5024 (0.1941-0.767),0.1241 (0.0343-0.2476),0.3735 (0.1242-0.6806)
