race,AG14D,AG14R,AG14Turnout
WVAP,0.336 (0.2589-0.407),0.664 (0.593-0.7411),0.4531 (0.4014-0.5013)
OVAP,0.6043 (0.3069-0.8673),0.3957 (0.1327-0.6931),0.463 (0.2624-0.6789)
