race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.3643 (0.2795-0.478),0.6357 (0.522-0.7205),0.6153 (0.5926-0.6507)
OVAP,0.5958 (0.2656-0.8403),0.4042 (0.1597-0.7344),0.8829 (0.7438-0.9742)
