race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.4623 (0.3953-0.524),0.5377 (0.476-0.6047),0.5352 (0.4717-0.5898)
OVAP,0.677 (0.365-0.8912),0.323 (0.1088-0.635),0.4895 (0.2581-0.7519)
