race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.8604 (0.6521-0.9698),0.1396 (0.0302-0.3479),0.0158 (0.0065-0.0294)
OVAP,0.7673 (0.6581-0.8363),0.2327 (0.1637-0.3419),0.1806 (0.1177-0.2259)
