race,AG18D,AG18R,AG18Turnout
WVAP,0.414 (0.3621-0.4685),0.586 (0.5315-0.6379),0.5809 (0.5357-0.6254)
BVAP,0.5501 (0.241-0.8229),0.4499 (0.1771-0.759),0.5609 (0.3135-0.8076)
HVAP,0.5071 (0.195-0.821),0.4929 (0.179-0.805),0.6671 (0.3815-0.8843)
OVAP,0.5078 (0.2089-0.8121),0.4922 (0.1879-0.7911),0.6774 (0.406-0.905)
