race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.3443 (0.2602-0.4573),0.6557 (0.5427-0.7398),0.6252 (0.6023-0.6593)
OVAP,0.6167 (0.2777-0.8666),0.3833 (0.1334-0.7223),0.8772 (0.7417-0.9655)
