race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.8489 (0.6505-0.9714),0.1511 (0.0286-0.3495),0.0104 (0.0051-0.0183)
BVAP,0.7847 (0.6078-0.9156),0.2153 (0.0844-0.3922),0.1191 (0.0649-0.177)
HVAP,0.6902 (0.3712-0.9027),0.3098 (0.0973-0.6288),0.3603 (0.1704-0.5968)
OVAP,0.8084 (0.5704-0.9381),0.1916 (0.0619-0.4296),0.444 (0.1842-0.6527)
