race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.4954 (0.2899-0.6847),0.3644 (0.1917-0.557),0.1402 (0.0484-0.2638),0.0399 (0.0238-0.0591)
OVAP,0.4913 (0.3399-0.6302),0.275 (0.1458-0.4071),0.2337 (0.1437-0.3391),0.2565 (0.1713-0.331)
