race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.4339 (0.3586-0.5004),0.5661 (0.4996-0.6414),0.5699 (0.5123-0.6224)
OVAP,0.613 (0.3232-0.8685),0.387 (0.1315-0.6768),0.5508 (0.3329-0.7926)
