race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.1455 (0.0859-0.2186),0.8545 (0.7814-0.9141),0.5799 (0.5323-0.6306)
OVAP,0.6089 (0.3286-0.8309),0.3911 (0.1691-0.6714),0.6327 (0.4194-0.8278)
