race,AG18D,AG18R,AG18Turnout
WVAP,0.4072 (0.3355-0.4822),0.5928 (0.5178-0.6645),0.5847 (0.5335-0.6381)
OVAP,0.5712 (0.2514-0.8367),0.4288 (0.1633-0.7486),0.578 (0.3539-0.7883)
