race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.3842 (0.3185-0.4422),0.6158 (0.5578-0.6815),0.472 (0.4246-0.5155)
BVAP,0.5902 (0.2887-0.8461),0.4098 (0.1539-0.7113),0.4742 (0.2478-0.7337)
HVAP,0.5065 (0.1879-0.8169),0.4935 (0.1831-0.8121),0.664 (0.3988-0.8831)
OVAP,0.4902 (0.1627-0.7972),0.5098 (0.2028-0.8373),0.6821 (0.3671-0.9253)
