race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.4375 (0.3809-0.4906),0.5625 (0.5094-0.6191),0.7242 (0.6615-0.7783)
OVAP,0.619 (0.277-0.8874),0.381 (0.1126-0.723),0.4789 (0.2504-0.7459)
