race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.2278 (0.1565-0.2985),0.7722 (0.7015-0.8435),0.4887 (0.4337-0.5372)
OVAP,0.5891 (0.2965-0.83),0.4109 (0.17-0.7035),0.4993 (0.2968-0.7254)
