race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.5452 (0.3238-0.7438),0.087 (0.0233-0.1866),0.3677 (0.1742-0.5792),0.0356 (0.022-0.051)
OVAP,0.3892 (0.2213-0.5395),0.2042 (0.1367-0.2802),0.4066 (0.2535-0.5511),0.2462 (0.178-0.3089)
