race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.4039 (0.2473-0.5576),0.0389 (0.0101-0.0831),0.1114 (0.0443-0.2015),0.0376 (0.0118-0.0761),0.4082 (0.2571-0.56),0.0397 (0.0285-0.0532)
OVAP,0.3234 (0.1975-0.4455),0.0938 (0.0578-0.1359),0.1668 (0.0952-0.2335),0.0812 (0.0503-0.1173),0.3347 (0.1898-0.4591),0.2247 (0.166-0.2766)
