race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.7416 (0.5756-0.8943),0.2584 (0.1057-0.4244),0.0785 (0.0536-0.1068)
OVAP,0.4587 (0.2594-0.6685),0.5413 (0.3315-0.7406),0.2938 (0.1704-0.4053)
