race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.3847 (0.3167-0.4523),0.6153 (0.5477-0.6833),0.4872 (0.4313-0.5397)
OVAP,0.5797 (0.2784-0.8325),0.4203 (0.1675-0.7216),0.4687 (0.2485-0.7006)
