race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5208 (0.4588-0.5806),0.4792 (0.4194-0.5412),0.5852 (0.5268-0.6391)
OVAP,0.5622 (0.2836-0.836),0.4378 (0.164-0.7164),0.5293 (0.3066-0.7761)
