race,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,BMAY21PNone
WVAP,0.0783 (0.0723-0.0843),0.0409 (0.0353-0.0468),0.0075 (0.005-0.0106),0.1067 (0.0983-0.1152),0.7666 (0.7554-0.7778)
OVAP,0.0076 (0.005-0.0106),0.0352 (0.0309-0.0397),0.0614 (0.0585-0.0641),0.0273 (0.0223-0.0326),0.8685 (0.8608-0.8759)
