race,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,BMAY21PNone
WVAP,0.0747 (0.0702-0.0793),0.0477 (0.0427-0.0527),0.0152 (0.0115-0.0191),0.1086 (0.1007-0.1165),0.7539 (0.7433-0.7647)
BVAP,0.0078 (0.0038-0.0124),0.0595 (0.0502-0.0686),0.1302 (0.1187-0.1416),0.0261 (0.0167-0.0355),0.7764 (0.7596-0.7933)
HVAP,0.0078 (0.0035-0.0141),0.011 (0.0045-0.0204),0.0248 (0.0135-0.0372),0.0302 (0.014-0.0478),0.9261 (0.9028-0.9469)
ASIANVAP,0.0078 (0.0038-0.0141),0.0116 (0.0049-0.022),0.0099 (0.0046-0.0182),0.0168 (0.0059-0.0322),0.954 (0.9317-0.9713)
OVAP,0.0149 (0.0057-0.0295),0.0264 (0.0073-0.0529),0.0221 (0.0069-0.0461),0.0212 (0.0069-0.0424),0.9154 (0.8726-0.949)
