race,COMP14D,COMP14R,COMP14None
WVAP,0.3767 (0.3312-0.4179),0.2712 (0.2589-0.2799),0.3521 (0.3119-0.3967)
OVAP,0.1824 (0.1166-0.2577),0.0269 (0.0114-0.0506),0.7907 (0.7189-0.8559)
