race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0671 (0.0562-0.0785),0.0129 (0.0091-0.0158),0.0221 (0.0172-0.027),0.0079 (0.0047-0.0106),0.0317 (0.025-0.0388),0.8583 (0.8462-0.8702)
OVAP,0.0809 (0.0619-0.0997),0.0069 (0.0023-0.0133),0.0145 (0.0068-0.0225),0.0074 (0.0028-0.0131),0.0357 (0.024-0.0471),0.8547 (0.8349-0.8748)
