race,SEN12D,SEN12R,SEN12None
WVAP,0.4054 (0.3558-0.451),0.2722 (0.2515-0.2884),0.3224 (0.2778-0.3699)
BVAP,0.3808 (0.2557-0.4982),0.0246 (0.0081-0.0497),0.5946 (0.4805-0.7203)
HVAP,0.3867 (0.165-0.6241),0.0754 (0.0271-0.1565),0.5379 (0.291-0.7668)
OVAP,0.3068 (0.1554-0.4831),0.083 (0.0267-0.166),0.6101 (0.4467-0.7529)
