race,COMP18D,COMP18R,COMP18None
WVAP,0.5495 (0.4971-0.5933),0.252 (0.2379-0.2628),0.1984 (0.1579-0.2476)
OVAP,0.369 (0.2915-0.4613),0.0425 (0.0198-0.0736),0.5884 (0.5016-0.66)
