race,SEN16D,SEN16R,SEN16None
WVAP,0.5506 (0.5163-0.583),0.3637 (0.3436-0.3803),0.0856 (0.0628-0.1135)
OVAP,0.328 (0.2626-0.3963),0.0866 (0.0453-0.1365),0.5853 (0.5386-0.6239)
