race,AG14D,AG14R,AG14None
WVAP,0.2769 (0.2342-0.3194),0.2672 (0.2426-0.2858),0.4558 (0.4111-0.5021)
BVAP,0.244 (0.1272-0.3736),0.0268 (0.0098-0.0561),0.7291 (0.601-0.8456)
HVAP,0.2876 (0.0962-0.5378),0.0733 (0.0236-0.1462),0.6392 (0.382-0.8297)
OVAP,0.2427 (0.1159-0.3949),0.0853 (0.0283-0.1669),0.6721 (0.5245-0.8053)
