race,AG18D,AG18R,AG18None
WVAP,0.5138 (0.4616-0.5567),0.3127 (0.2958-0.3259),0.1735 (0.1334-0.221)
OVAP,0.3493 (0.2699-0.4421),0.0529 (0.0245-0.0906),0.5978 (0.5168-0.6674)
