race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0846 (0.0756-0.0937),0.0058 (0.0029-0.0095),0.031 (0.0233-0.0381),0.8785 (0.8672-0.8906)
BVAP,0.0467 (0.0201-0.0765),0.0246 (0.0094-0.042),0.0388 (0.0157-0.0637),0.89 (0.8543-0.9262)
HVAP,0.0647 (0.023-0.1236),0.0782 (0.0333-0.125),0.0749 (0.027-0.1353),0.7822 (0.6942-0.8624)
OVAP,0.0274 (0.0095-0.0553),0.0256 (0.0107-0.0413),0.0344 (0.0125-0.0625),0.9125 (0.8724-0.9445)
